PlayerID,LastName,FirstName,Bats,Pitches,Team,X7
berry101,Berra,Yogi,L,R,NYA,X
byrnt101,Byrne,Tommy,L,L,NYA,X
colej106,Coleman,Jerry,R,R,NYA,X
dimad101,DiMaggio,Dom,R,R,BOS,X
dimaj101,DiMaggio,Joe,R,R,NYA,X
dobyl101,Doby,Larry,L,R,CLE,X
doerb101,Doerr,Bobby,R,R,BOS,X
dropw101,Dropo,Walt,R,R,BOS,X
everh101,Evers,Hoot,R,R,DET,X
fainf101,Fain,Ferris,L,L,PHA,X
fellb101,Feller,Bob,R,R,CLE,X
grayt101,Gray,Ted,B,L,DET,X
hegaj101,Hegan,Jim,R,R,CLE,X
henrt101,Henrich,Tommy,L,L,NYA,X
houta101,Houtteman,Art,R,R,DET,X
kellg102,Kell,George,R,R,DET,X
lemob101,Lemon,Bob,L,R,CLE,X
lolls101,Lollar,Sherm,R,R,SLA,X
michc101,Michaels,Cass,R,R,WS1,X
rascv101,Raschi,Vic,R,R,NYA,X
reyna102,Reynolds,Allie,R,R,NYA,X
rizzp101,Rizzuto,Phil,R,R,NYA,X
scarr102,Scarborough,Ray,R,R,CHA,X
stepv101,Stephens,Vern,R,R,BOS,X
willt103,Williams,Ted,L,R,BOS,X
brews101,Brewer,Sherwood,R,R,ASE,NA
blacj103,Black,Joe,R,R,ASE,NA
butth101,Butts,Harry,?,?,ASE,NA
buttt102,Butts,Tommy,R,R,ASE,NA
diazf101,Diaz,Fernando,R,R,ASE,NA
gainj102,Gaines,Jonas,R,L,ASE,NA
galar101,Galata,Raul,L,L,ASE,NA
gillj102,Gilliam,Jim,B,R,ASE,NA
gonzr102,Gonzalez,Rene,R,R,ASE,NA
littb101,Littles,Ben,R,R,ASE,NA
loudl101,Louden,Lou,R,R,ASE,NA
merch101,Merchant,Henry,L,L,ASE,NA
scanp101,Scantlebury,Pat,L,L,ASE,NA
whitc101,White,Charlie,L,R,ASE,NA
wilma101,Wilmore,Alfred,?,?,ASE,NA
bassp101,Bassett,Pepper,B,R,ASW,NA
clarw103,Clarke,Webbo,L,L,ASW,NA
coopt101,Cooper,Tom,R,R,ASW,NA
dougj102,Douglas,Jesse,B,R,ASW,NA
harvb102,Harvey,Bob,L,R,ASW,NA
johnc103,Johnson,Connie,R,R,ASW,NA
jonec108,Jones,Casey,L,R,ASW,NA
kelll101,Kellman,Leon,R,R,ASW,NA
mcnec101,McNeal,Clyde,R,R,ASW,NA
penna101,Pennington,Art,B,R,ASW,NA
perra101,Perry,Alonzo,L,R,ASW,NA
poweb103,Powell,Bill,L,R,ASW,NA
soueh101,Souell,Herb,B,R,ASW,NA
steee102,Steele,Ed,L,R,ASW,NA
washj102,Washington,Johnny,L,R,ASW,NA
willc109,Williams,Curley,L,R,ASW,NA
atkij101,Atkins,James,L,R,BOS,P
battm101,Batts,Matt,R,R,BOS,C
combm101,Combs,Merl,L,R,BOS,PH
dimad101,DiMaggio,Dom,R,R,BOS,OF
dobsj101,Dobson,Joe,R,R,BOS,P
doerb101,Doerr,Bobby,R,R,BOS,2B
dropw101,Dropo,Walt,R,R,BOS,1B
ferrd101,Ferriss,Dave,L,R,BOS,P
gillb102,Gillespie,Bob,R,R,BOS,P
goodb101,Goodman,Billy,L,R,BOS,OF
hatff101,Hatfield,Fred,L,R,BOS,3B
johne105,Johnson,Earl,L,L,BOS,P
